,Code,State/UT,Type,Latitude,Longitude
0,IN-AP,Andhra Pradesh,State,15.9240905,80.1863809
1,IN-AR,Arunachal Pradesh,State,27.6891712,96.45972259999999
2,IN-AS,Assam,State,26.4073841,93.25513029999999
3,IN-BR,Bihar,State,25.6440845,85.906508
4,IN-CT,Chhattisgarh,State,21.6637359,81.84063509999999
5,IN-GA,Goa,State,15.3004543,74.08551340000001
6,IN-GJ,Gujarat,State,22.41540825,72.03149703699282
7,IN-HR,Haryana,State,29.0,76.0
8,IN-HP,Himachal Pradesh,State,31.81676015,77.34932051968858
9,IN-JH,Jharkhand,State,23.455980899999997,85.2557301
10,IN-KA,Karnataka,State,14.520389600000001,75.7223521
11,IN-KL,Kerala,State,10.352874400000001,76.5120396
12,IN-MP,Madhya Pradesh,State,23.8143419,77.5340719
13,IN-MH,Maharashtra,State,19.531932,76.0554568
14,IN-MN,Manipur,State,24.7208818,93.9229386
15,IN-ML,Meghalaya,State,25.5379432,91.29991020000001
16,IN-MZ,Mizoram,State,23.2146169,92.86876120000001
17,IN-NL,Nagaland,State,26.1630556,94.5884911
18,IN-OR,Odisha,State,20.5431241,84.6897321
19,IN-PB,Punjab,State,30.929321100000003,75.5004841
20,IN-RJ,Rajasthan,State,26.8105777,73.76845490000001
21,IN-SK,Sikkim,State,27.601028999999997,88.45413638680145
22,IN-TN,Tamil Nadu,State,10.909433400000001,78.3665347
23,IN-TG,Telengana,State,17.8495919,79.1151663
24,IN-TR,Tripura,State,23.7750823,91.70250909999999
25,IN-UT,Uttarakhand,State,30.09199355,79.32176659343018
26,IN-UP,Uttar Pradesh,State,27.1303344,80.859666
27,IN-WB,West Bengal,State,22.9964948,87.6855882
28,IN-AN,Andaman and Nicobar Islands,Union territory,10.2188344,92.57713290000001
29,IN-CH,Chandigarh,Union territory,30.7194022,76.7646552
30,IN-DN,Dadra and Nagar Haveli,Union territory,20.203950650000003,73.00625077771558
31,IN-DD,Daman and Diu,Union territory,20.71798575,70.93239924092201
32,IN-DL,Delhi,Union territory,28.6517178,77.22193879999999
33,IN-JK,Jammu and Kashmir,Union territory,34.0476564,76.7972892
34,IN-LA,Ladakh,Union territory,33.9456407,77.6568576
35,IN-LD,Lakshadweep,Union territory,10.883277099999999,72.8171069
36,IN-PY,Puducherry,Union territory,11.934056800000002,79.83064470000001
